,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
99,Moldova (Republic of),0.589,0.603,0.613,0.617,0.629,0.632,0.633,0.636,0.638
100,Mongolia,0.591,0.612,0.605,0.645,0.639,0.641,0.63,0.629,0.635
101,Montenegro,0.715,0.742,0.739,0.744,0.729,0.736,0.74,0.741,0.746
102,Morocco,0.444,0.441,0.447,0.454,0.459,0.465,..,..,..
103,Mozambique,0.216,0.278,0.268,0.291,0.276,0.287,0.293,0.298,0.309
104,Myanmar,..,..,..,..,..,..,..,0.465,0.448
105,Namibia,0.327,0.34,0.346,0.351,0.356,0.413,0.417,0.42,0.418
106,Nepal,0.359,0.351,0.36,0.396,0.412,0.414,0.422,0.427,0.43
107,Netherlands,0.837,0.857,0.858,0.862,0.864,0.864,0.86,0.858,0.87
108,New Zealand,..,..,..,..,..,..,..,0.849,0.836
109,Nicaragua,0.463,0.449,0.453,0.464,0.487,0.478,0.493,0.503,0.501
110,Niger,0.211,0.215,0.222,0.233,0.25,0.258,0.263,0.264,0.272
111,Nigeria,0.282,0.299,0.294,0.31,0.325,0.328,0.333,0.348,0.349
112,North Macedonia,0.612,0.618,0.631,0.642,0.622,0.627,0.633,0.662,0.66
113,Norway,0.879,0.891,0.882,0.893,0.895,0.897,0.879,0.876,0.889
114,Oman,..,..,..,..,..,..,..,..,0.732
115,Pakistan,0.359,0.362,0.368,0.375,0.383,0.38,0.388,0.385,0.386
116,"Palestine, State of",..,..,..,0.601,0.58,0.581,0.586,0.586,0.597
117,Panama,0.543,0.576,0.581,0.604,0.604,0.61,0.625,0.626,0.626
118,Paraguay,0.522,0.53,..,0.538,0.555,0.543,0.557,0.538,0.562
119,Peru,0.5,0.564,0.556,0.566,0.576,0.588,0.604,0.611,0.612
120,Philippines,0.545,0.542,0.548,0.567,0.571,0.572,0.579,0.582,0.582
121,Poland,0.745,0.758,0.754,0.767,0.769,0.777,0.783,0.79,0.801
122,Portugal,0.724,0.743,0.74,0.752,0.753,0.755,0.728,0.733,0.742
123,Romania,0.701,0.698,0.696,0.716,0.72,0.717,0.713,0.718,0.725
124,Russian Federation,0.69,0.699,..,0.707,0.722,0.734,0.739,0.743,0.743
125,Rwanda,0.307,0.319,0.333,0.338,0.351,0.35,0.367,0.37,0.382
126,Saint Lucia,..,..,..,..,0.612,0.619,0.628,0.62,0.617
127,Sao Tome and Principe,..,0.379,0.381,0.391,0.434,0.444,0.476,0.484,0.507
128,Senegal,0.299,0.317,0.328,0.331,0.328,0.337,0.345,0.343,0.347
129,Serbia,0.68,0.699,0.698,0.691,0.702,0.697,0.673,0.673,0.71
130,Sierra Leone,0.237,0.232,0.241,0.237,0.251,0.263,0.268,0.276,0.282
131,Singapore,..,..,..,..,..,..,..,0.817,0.81
132,Slovakia,0.773,0.789,0.789,0.79,0.793,0.797,0.792,0.796,0.804
133,Slovenia,0.82,0.836,0.825,0.833,0.834,0.834,0.842,0.848,0.858
134,Solomon Islands,..,..,..,0.419,0.42,0.423,..,..,..
135,South Africa,0.456,..,..,..,0.444,0.457,0.469,0.47,0.463
136,South Sudan,..,..,..,..,..,..,..,0.263,0.264
137,Spain,0.78,0.792,0.785,0.78,0.779,0.792,0.75,0.754,0.765
138,Sri Lanka,0.622,0.634,0.647,0.656,0.679,0.683,0.687,0.668,0.686
139,Sudan,..,..,..,..,..,..,0.322,0.331,0.332
140,Suriname,0.53,0.539,0.554,0.549,0.551,0.555,0.562,0.559,0.559
141,Sweden,0.843,0.853,0.852,0.867,0.867,0.869,0.868,0.866,0.874
142,Switzerland,0.866,0.867,0.87,0.865,0.87,0.862,0.87,0.87,0.881
143,Syrian Arab Republic,0.51,0.511,0.502,0.451,0.434,0.422,0.424,..,..
144,Tajikistan,0.51,0.523,0.521,0.52,0.53,0.545,0.557,0.563,0.574
145,Tanzania (United Republic of),0.348,0.351,0.364,0.367,0.37,0.387,0.389,0.393,0.397
146,Thailand,0.568,0.574,0.577,0.58,0.586,0.59,0.627,0.642,0.635
147,Timor-Leste,0.413,0.42,0.403,0.425,0.421,0.432,0.44,0.451,0.45
148,Togo,0.314,0.319,0.322,0.329,0.33,0.342,0.348,0.348,0.35
149,Trinidad and Tobago,0.666,0.666,0.664,0.667,0.669,0.674,0.677,..,..
150,Tunisia,0.536,0.538,..,..,0.567,0.567,0.574,0.575,0.585
151,Turkey,0.568,0.588,0.593,0.658,0.667,0.672,0.677,0.681,0.676
152,Turkmenistan,0.496,..,..,..,..,..,0.575,0.576,0.578
153,Uganda,0.332,0.328,0.33,0.348,0.355,0.356,0.365,0.375,0.387
154,Ukraine,0.673,0.67,0.674,0.676,0.689,0.688,0.695,0.698,0.701
155,United Kingdom,0.817,0.824,0.822,0.832,0.839,0.842,0.821,0.833,0.845
156,United States,0.808,0.774,0.802,0.755,0.759,0.793,0.796,0.793,0.797
157,Uruguay,0.649,0.654,0.658,0.668,0.684,0.676,0.687,0.692,0.703
158,Uzbekistan,0.561,0.571,0.573,0.579,0.583,0.586,0.609,..,..
159,Vanuatu,..,..,..,..,0.488,0.49,0.493,0.493,..
160,Venezuela (Bolivarian Republic of),0.593,0.561,0.563,0.62,0.619,0.614,0.615,0.614,0.6
161,Viet Nam,0.546,0.57,0.574,0.572,0.557,0.559,0.566,0.57,0.58
162,Yemen,0.328,0.346,0.339,0.34,0.333,0.327,0.327,0.315,0.316
163,Zambia,0.364,0.381,0.35,0.363,0.371,0.367,0.383,0.388,0.394
164,Zimbabwe,0.331,0.349,0.369,0.384,0.392,0.388,0.419,0.423,0.435
165,Andorra,..,..,..,..,..,..,..,..,..
166,United Arab Emirates,..,..,..,..,..,..,..,..,..
167,Antigua and Barbuda,..,..,..,..,..,..,..,..,..
168,Bahrain,..,..,..,..,..,..,..,..,..
169,Brunei Darussalam,..,..,..,..,..,..,..,..,..
170,Cuba,..,..,..,..,..,..,..,..,..
171,Dominica,..,..,..,..,..,..,..,..,..
172,Eritrea,..,..,..,..,..,..,..,..,..
173,Equatorial Guinea,..,..,..,..,..,..,..,..,..
174,Grenada,..,..,..,..,..,..,..,..,..
175,Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..
176,Kuwait,..,..,..,..,..,..,..,..,..
177,Libya,..,..,..,..,..,..,..,..,..
178,Liechtenstein,..,..,..,..,..,..,..,..,..
179,Marshall Islands,..,..,..,..,..,..,..,..,..
180,Malaysia,..,..,..,..,..,..,..,..,..
181,Palau,..,..,..,..,..,..,..,..,..
182,Papua New Guinea,..,..,..,..,..,..,..,..,..
183,Qatar,..,..,..,..,..,..,..,..,..
184,Saudi Arabia,..,..,..,..,..,..,..,..,..
185,Seychelles,..,..,..,..,..,..,..,..,..
186,Tonga,..,..,..,..,..,..,..,..,..
187,Saint Vincent and the Grenadines,..,..,..,..,..,..,..,..,..
188,Samoa,..,..,..,..,..,..,..,..,..
189,Human Development, ,..,..,..,..,..,..,..,..
190,Very high human development,0.764,0.766,0.774,0.77,0.776,0.785,0.784,0.792,0.796
191,High human development,0.548,0.556,0.562,0.573,0.579,0.584,0.595,0.619,0.615
192,Medium human development,0.408,0.42,0.422,0.432,0.438,0.449,0.456,0.466,0.507
193,Low human development,0.303,0.312,0.313,0.325,0.331,0.338,0.345,0.347,0.349
194,Developing Countries,0.474,0.484,0.487,0.491,0.497,0.504,0.512,0.533,0.547
195,Regions, ,..,..,..,..,..,..,..,..
196,Arab States,0.491,0.503,0.513,0.517,0.516,0.504,0.517,0.525,0.531
197,East Asia and the Pacific,0.54,0.55,0.557,0.574,0.581,0.587,0.594,0.622,0.618
198,Europe and Central Asia,0.617,0.631,0.633,0.658,0.666,0.672,0.681,0.686,0.689
199,Latin America and the Caribbean,0.546,0.545,0.55,0.565,0.573,0.577,0.588,0.593,0.589
200,South Asia,0.412,0.424,0.426,0.433,0.44,0.451,0.457,0.472,0.52
201,Sub-Saharan Africa,0.323,0.331,0.333,0.346,0.351,0.36,0.371,0.373,0.376
202,Least Developed Countries,0.323,0.333,0.337,0.347,0.352,0.361,0.369,0.376,0.377
203,Small Island Developing States,0.499,0.509,0.502,0.533,0.536,0.541,0.545,0.552,0.549
204,Organization for Economic Co-operation and Development,0.765,0.762,0.769,0.765,0.769,0.778,0.777,0.786,0.79
205,World,0.534,0.542,0.543,0.55,0.554,0.561,0.567,0.583,0.596
