Entity,Code,Year, ((0-1; higher values are better))
Laos,LAO,2011,0.5579999999999999
Latvia,LVA,2011,0.821
Lebanon,LBN,2011,0.76
Lesotho,LSO,2011,0.498
Liberia,LBR,2011,0.41700000000000004
Libya,LBY,2011,0.7070000000000001
Liechtenstein,LIE,2011,0.909
Lithuania,LTU,2011,0.828
Luxembourg,LUX,2011,0.892
Macedonia,MKD,2011,0.738
Madagascar,MDG,2011,0.504
Malawi,MWI,2011,0.45
Malaysia,MYS,2011,0.778
Maldives,MDV,2011,0.682
Mali,MLI,2011,0.408
Malta,MLT,2011,0.843
Mauritania,MRT,2011,0.49
Mauritius,MUS,2011,0.758
Mexico,MEX,2011,0.7509999999999999
Micronesia (country),FSM,2011,0.613
Moldova,MDA,2011,0.677
Mongolia,MNG,2011,0.711
Montenegro,MNE,2011,0.7979999999999999
Morocco,MAR,2011,0.626
Mozambique,MOZ,2011,0.40700000000000003
Myanmar,MMR,2011,0.54
Namibia,NAM,2011,0.607
Nepal,NPL,2011,0.535
Netherlands,NLD,2011,0.9209999999999999
New Zealand,NZL,2011,0.902
Nicaragua,NIC,2011,0.627
Niger,NER,2011,0.325
Nigeria,NGA,2011,0.494
Norway,NOR,2011,0.943
Oman,OMN,2011,0.795
Pakistan,PAK,2011,0.53
Palau,PLW,2011,0.775
Palestine,PSE,2011,0.677
Panama,PAN,2011,0.764
Papua New Guinea,PNG,2011,0.529
Paraguay,PRY,2011,0.68
Peru,PER,2011,0.7290000000000001
Philippines,PHL,2011,0.67
Poland,POL,2011,0.8390000000000001
Portugal,PRT,2011,0.826
Qatar,QAT,2011,0.836
Romania,ROU,2011,0.7979999999999999
Russia,RUS,2011,0.789
Rwanda,RWA,2011,0.493
Saint Kitts and Nevis,KNA,2011,0.7509999999999999
Saint Lucia,LCA,2011,0.7340000000000001
Saint Vincent and the Grenadines,VCT,2011,0.7170000000000001
Samoa,WSM,2011,0.6970000000000001
Sao Tome and Principe,STP,2011,0.5479999999999999
Saudi Arabia,SAU,2011,0.823
Senegal,SEN,2011,0.467
Serbia,SRB,2011,0.769
Seychelles,SYC,2011,0.741
Sierra Leone,SLE,2011,0.392
Singapore,SGP,2011,0.914
Slovakia,SVK,2011,0.8370000000000001
Slovenia,SVN,2011,0.884
Solomon Islands,SLB,2011,0.514
South Africa,ZAF,2011,0.657
South Korea,KOR,2011,0.888
South Sudan,SSD,2011,0.41600000000000004
Spain,ESP,2011,0.87
Sri Lanka,LKA,2011,0.7509999999999999
Sudan,SDN,2011,0.474
Suriname,SUR,2011,0.706
Swaziland,SWZ,2011,0.55
Sweden,SWE,2011,0.9059999999999999
Switzerland,CHE,2011,0.932
Syria,SYR,2011,0.642
Tajikistan,TJK,2011,0.637
Tanzania,TZA,2011,0.499
Thailand,THA,2011,0.727
Timor,TLS,2011,0.624
Togo,TGO,2011,0.46299999999999997
Tonga,TON,2011,0.716
Trinidad and Tobago,TTO,2011,0.773
Tunisia,TUN,2011,0.718
Turkey,TUR,2011,0.753
Turkmenistan,TKM,2011,0.68
Uganda,UGA,2011,0.49
Ukraine,UKR,2011,0.738
United Arab Emirates,ARE,2011,0.841
United Kingdom,GBR,2011,0.899
United States,USA,2011,0.917
Uruguay,URY,2011,0.782
Uzbekistan,UZB,2011,0.674
Vanuatu,VUT,2011,0.5920000000000001
Venezuela,VEN,2011,0.7709999999999999
Vietnam,VNM,2011,0.664
Yemen,YEM,2011,0.499
Zambia,ZMB,2011,0.556
Zimbabwe,ZWE,2011,0.478
