Entity,Code,Year,Average total years of schooling for adult population (years)
Palau,PLW,2012,12.2
Palestine,PSE,2012,9.0
Panama,PAN,2012,9.5
Papua New Guinea,PNG,2012,4.2
Paraguay,PRY,2012,7.8
Peru,PER,2012,8.6
Philippines,PHL,2012,9.1
Poland,POL,2012,11.7
Portugal,PRT,2012,8.5
Qatar,QAT,2012,9.2
Romania,ROU,2012,10.9
Russia,RUS,2012,11.7
Rwanda,RWA,2012,3.7
Saint Kitts and Nevis,KNA,2012,8.1
Saint Lucia,LCA,2012,8.4
Saint Vincent and the Grenadines,VCT,2012,8.5
Samoa,WSM,2012,10.2
Sao Tome and Principe,STP,2012,5.1
Saudi Arabia,SAU,2012,9.4
Senegal,SEN,2012,2.6
Serbia,SRB,2012,10.5
Seychelles,SYC,2012,8.8
Sierra Leone,SLE,2012,3.2
Singapore,SGP,2012,11.3
Slovakia,SVK,2012,12.3
Slovenia,SVN,2012,11.7
Solomon Islands,SLB,2012,5.2
South Africa,ZAF,2012,9.8
South Korea,KOR,2012,11.9
South Sudan,SSD,2012,4.8
Spain,ESP,2012,9.5
Sri Lanka,LKA,2012,10.9
Sudan,SDN,2012,3.3
Suriname,SUR,2012,7.9
Swaziland,SWZ,2012,6.1
Sweden,SWE,2012,12.4
Switzerland,CHE,2012,13.4
Syria,SYR,2012,6.3
Tajikistan,TJK,2012,10.7
Tanzania,TZA,2012,5.5
Thailand,THA,2012,7.7
Timor,TLS,2012,4.5
Togo,TGO,2012,4.4
Tonga,TON,2012,10.9
Trinidad and Tobago,TTO,2012,10.8
Tunisia,TUN,2012,6.8
Turkey,TUR,2012,7.5
Turkmenistan,TKM,2012,9.8
Uganda,UGA,2012,5.3
Ukraine,UKR,2012,11.3
United Arab Emirates,ARE,2012,10.2
United Kingdom,GBR,2012,12.9
United States,USA,2012,13.3
Uruguay,URY,2012,8.5
Uzbekistan,UZB,2012,11.1
Vanuatu,VUT,2012,6.8
Venezuela,VEN,2012,9.7
Vietnam,VNM,2012,7.8
Yemen,YEM,2012,3.0
Zambia,ZMB,2012,6.7
Zimbabwe,ZWE,2012,7.9
