Entity,Code,Year,Average total years of schooling for adult population (years)
Philippines,PHL,2015,9.3
Poland,POL,2015,12.1
Portugal,PRT,2015,9.1
Qatar,QAT,2015,9.8
Romania,ROU,2015,10.9
Russia,RUS,2015,12.0
Rwanda,RWA,2015,4.0
Saint Kitts and Nevis,KNA,2015,8.4
Saint Lucia,LCA,2015,8.9
Saint Vincent and the Grenadines,VCT,2015,8.6
Samoa,WSM,2015,10.3
Sao Tome and Principe,STP,2015,5.6
Saudi Arabia,SAU,2015,9.5
Senegal,SEN,2015,2.9
Serbia,SRB,2015,11.0
Seychelles,SYC,2015,9.5
Sierra Leone,SLE,2015,3.4
Singapore,SGP,2015,11.5
Slovakia,SVK,2015,12.5
Slovenia,SVN,2015,12.0
Solomon Islands,SLB,2015,5.4
South Africa,ZAF,2015,10.1
South Korea,KOR,2015,12.1
South Sudan,SSD,2015,4.8
Spain,ESP,2015,9.7
Sri Lanka,LKA,2015,10.9
Sudan,SDN,2015,3.6
Suriname,SUR,2015,8.4
Swaziland,SWZ,2015,6.5
Sweden,SWE,2015,12.4
Switzerland,CHE,2015,13.4
Syria,SYR,2015,5.1
Tajikistan,TJK,2015,10.5
Tanzania,TZA,2015,5.8
Thailand,THA,2015,7.6
Timor,TLS,2015,4.5
Togo,TGO,2015,4.7
Tonga,TON,2015,11.2
Trinidad and Tobago,TTO,2015,10.8
Tunisia,TUN,2015,7.0
Turkey,TUR,2015,7.8
Turkmenistan,TKM,2015,9.8
Uganda,UGA,2015,5.7
Ukraine,UKR,2015,11.3
United Arab Emirates,ARE,2015,10.6
United Kingdom,GBR,2015,12.8
United States,USA,2015,13.3
Uruguay,URY,2015,8.7
Uzbekistan,UZB,2015,11.4
Vanuatu,VUT,2015,6.8
Venezuela,VEN,2015,10.1
Vietnam,VNM,2015,8.0
Yemen,YEM,2015,3.0
Zambia,ZMB,2015,6.9
Zimbabwe,ZWE,2015,8.2
