Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Europe & Central Asia (IDA & IBRD),2017,0.0,0.0
Europe & Central Asia (excluding high income),2017,0.0,0.0
European Union,2017,0.0,0.0
Faeroe Islands,2017,0.0,0.0
Fiji,2017,10.8,15.3
Finland,2017,12.4,17.6
Fragile and conflict affected situations,2017,0.0,0.0
France,2017,11.5,16.4
French Polynesia,2017,0.0,0.0
Gabon,2017,8.2,12.8
Gambia,2017,3.5,9.2
Georgia,2017,12.8,15.0
Germany,2017,14.1,17.0
Ghana,2017,7.1,11.6
Gibraltar,2017,0.0,0.0
Greece,2017,10.8,17.3
Greenland,2017,0.0,0.0
Grenada,2017,8.7,16.9
Guam,2017,0.0,0.0
Guatemala,2017,6.5,10.8
Guinea,2017,2.6,9.1
Guinea-Bissau,2017,3.0,10.5
Guyana,2017,8.4,11.4
Haiti,2017,5.3,9.3
Heavily indebted poor countries (HIPC),2017,0.0,0.0
High income,2017,0.0,0.0
Honduras,2017,6.5,10.2
Hong Kong,2017,12.0,16.3
Hungary,2017,11.9,15.1
IBRD only,2017,0.0,0.0
IDA & IBRD total,2017,0.0,0.0
IDA blend,2017,0.0,0.0
IDA only,2017,0.0,0.0
IDA total,2017,0.0,0.0
Iceland,2017,12.4,19.3
India,2017,6.4,12.3
Indonesia,2017,8.0,12.8
Iran,2017,9.8,14.9
Iraq,2017,6.8,11.0
Ireland,2017,12.5,19.6
Isle of Man,2017,0.0,0.0
Israel,2017,13.0,15.9
Italy,2017,10.2,16.3
Jamaica,2017,9.8,13.1
Japan,2017,12.8,15.2
Jordan,2017,10.4,13.1
Kazakhstan,2017,11.8,15.1
Kenya,2017,6.5,12.1
Kiribati,2017,7.9,12.9
Kosovo,2017,0.0,0.0
Kuwait,2017,7.3,13.6
Kyrgyzstan,2017,10.9,13.4
Laos,2017,5.2,11.2
Late-demographic dividend,2017,0.0,0.0
Latin America & Caribbean,2017,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2017,0.0,0.0
Latin America & Caribbean (excluding high income),2017,0.0,0.0
Latvia,2017,12.8,15.8
Least developed countries: UN classification,2017,0.0,0.0
Lebanon,2017,8.7,12.5
Lesotho,2017,6.3,10.6
Liberia,2017,4.7,10.0
Libya,2017,7.3,13.4
Liechtenstein,2017,12.5,14.7
Lithuania,2017,13.0,16.1
Low & middle income,2017,0.0,0.0
Low income,2017,0.0,0.0
Lower middle income,2017,0.0,0.0
Luxembourg,2017,12.1,14.0
Macao,2017,0.0,0.0
Macedonia,2017,9.6,13.3
Madagascar,2017,6.1,10.6
Malawi,2017,4.5,10.8
Malaysia,2017,10.2,13.7
Maldives,2017,6.3,12.6
Mali,2017,2.3,7.7
Malta,2017,11.3,15.9
Marshall Islands,2017,10.9,13.0
Mauritania,2017,4.5,8.6
Mauritius,2017,9.3,15.1
Mexico,2017,8.6,14.1
Micronesia (country),2017,8.0,0.0
Micronesia (region),2017,0.0,11.7
Middle East & North Africa,2017,0.0,0.0
Middle East & North Africa (IDA & IBRD),2017,0.0,0.0
Middle East & North Africa (excluding high income),2017,0.0,0.0
Middle income,2017,0.0,0.0
Moldova,2017,11.6,11.6
Monaco,2017,0.0,0.0
Mongolia,2017,10.1,15.5
Montenegro,2017,11.3,14.9
Morocco,2017,5.5,12.4
Mozambique,2017,3.5,9.7
Myanmar,2017,4.9,10.0
Namibia,2017,6.8,12.3
Nauru,2017,0.0,10.3
Nepal,2017,4.9,12.2
Netherlands,2017,12.2,18.0
New Caledonia,2017,0.0,0.0
New Zealand,2017,12.5,18.9
Nicaragua,2017,6.7,12.1
Niger,2017,2.0,5.4
Nigeria,2017,6.2,10.0
North America,2017,0.0,0.0
North Korea,2017,0.0,12.0
Northern Mariana Islands,2017,0.0,0.0
Norway,2017,12.6,17.9
OECD members,2017,0.0,0.0
Oman,2017,9.5,13.9
Other small states,2017,0.0,0.0
Pacific island small states,2017,0.0,0.0
Pakistan,2017,5.2,8.6
Palau,2017,12.3,15.6
Palestine,2017,9.1,12.8
Panama,2017,10.2,12.7
Papua New Guinea,2017,4.6,10.0
Paraguay,2017,8.4,12.7
Peru,2017,9.2,13.8
Philippines,2017,9.3,12.6
Poland,2017,12.3,16.4
Portugal,2017,9.2,16.3
Post-demographic dividend,2017,0.0,0.0
Pre-demographic dividend,2017,0.0,0.0
Puerto Rico,2017,0.0,0.0
Qatar,2017,9.8,13.4
Romania,2017,11.0,14.3
Russia,2017,12.0,15.5
Rwanda,2017,4.1,11.2
Saint Kitts and Nevis,2017,8.4,14.4
Saint Lucia,2017,8.9,13.6
Saint Martin (French part),2017,0.0,0.0
Saint Vincent and the Grenadines,2017,8.6,13.3
Samoa,2017,10.3,12.5
San Marino,2017,0.0,15.1
Sao Tome and Principe,2017,6.3,12.5
Saudi Arabia,2017,9.5,16.9
Senegal,2017,3.0,9.7
Serbia,2017,11.1,14.6
Seychelles,2017,9.5,14.8
Sierra Leone,2017,3.5,9.8
Singapore,2017,11.5,16.2
Sint Maarten (Dutch part),2017,0.0,0.0
Slovakia,2017,12.5,15.0
Slovenia,2017,12.2,17.2
Small states,2017,0.0,0.0
Solomon Islands,2017,5.5,10.2
Somalia,2017,0.0,0.0
South Africa,2017,10.1,13.3
South Asia,2017,0.0,0.0
South Asia (IDA & IBRD),2017,0.0,0.0
South Korea,2017,12.1,16.5
South Sudan,2017,4.8,4.9
Spain,2017,9.8,17.9
Sri Lanka,2017,10.9,13.9
Sub-Saharan Africa,2017,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2017,0.0,0.0
Sub-Saharan Africa (excluding high income),2017,0.0,0.0
Sudan,2017,3.7,7.4
Suriname,2017,8.5,12.7
Swaziland,2017,6.5,11.2
Sweden,2017,12.4,17.6
Switzerland,2017,13.4,16.2
Syria,2017,5.1,8.8
Syrian Arab Republic,2017,0.0,0.0
Tajikistan,2017,10.4,11.2
Tanzania,2017,5.8,8.9
Thailand,2017,7.6,14.7
Timor,2017,4.5,12.8
Togo,2017,4.8,12.4
Tonga,2017,11.2,14.3
Trinidad and Tobago,2017,10.9,12.9
Tunisia,2017,7.2,15.1
Turkey,2017,8.0,15.2
Turkmenistan,2017,9.8,10.8
Turks and Caicos Islands,2017,0.0,0.0
Tuvalu,2017,0.0,0.0
Uganda,2017,6.1,11.6
Ukraine,2017,11.3,15.0
United Arab Emirates,2017,10.8,13.6
United Kingdom,2017,12.9,17.4
United States,2017,13.4,16.5
United States Virgin Islands,2017,0.0,0.0
Upper middle income,2017,0.0,0.0
Uruguay,2017,8.7,15.9
Uzbekistan,2017,11.5,12.0
Vanuatu,2017,6.8,10.9
Venezuela,2017,10.3,14.3
Vietnam,2017,8.2,12.7
World,2017,0.0,0.0
Yemen,2017,3.0,9.0
Zambia,2017,7.0,12.5
Zimbabwe,2017,8.2,10.3
