Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Low income,2012,0.0,0.0
Lower middle income,2012,0.0,0.0
Luxembourg,2012,11.8,13.9
Macao,2012,0.0,0.0
Macedonia,2012,9.3,12.9
Madagascar,2012,6.1,10.3
Malawi,2012,4.3,10.5
Malaysia,2012,10.1,12.9
Maldives,2012,5.5,12.3
Mali,2012,2.1,7.6
Malta,2012,10.8,15.0
Marshall Islands,2012,10.8,0.0
Mauritania,2012,4.0,8.1
Mauritius,2012,8.6,14.8
Mexico,2012,8.6,13.1
Micronesia (country),2012,7.7,0.0
Micronesia (region),2012,0.0,11.7
Middle East & North Africa,2012,0.0,0.0
Middle East & North Africa (IDA & IBRD),2012,0.0,0.0
Middle East & North Africa (excluding high income),2012,0.0,0.0
Middle income,2012,0.0,0.0
Moldova,2012,11.4,11.8
Monaco,2012,0.0,0.0
Mongolia,2012,9.9,14.7
Montenegro,2012,11.2,15.0
Morocco,2012,4.6,11.8
Mozambique,2012,3.3,9.2
Myanmar,2012,4.5,9.6
Namibia,2012,6.4,12.3
Nauru,2012,0.0,10.1
Nepal,2012,4.0,12.3
Netherlands,2012,12.0,17.8
New Caledonia,2012,0.0,0.0
New Zealand,2012,12.1,19.0
Nicaragua,2012,6.3,11.5
Niger,2012,1.6,5.3
Nigeria,2012,5.7,9.8
North America,2012,0.0,0.0
North Korea,2012,0.0,12.0
Northern Mariana Islands,2012,0.0,0.0
Norway,2012,12.6,17.5
OECD members,2012,0.0,0.0
Oman,2012,8.6,13.6
Other small states,2012,0.0,0.0
Pacific island small states,2012,0.0,0.0
Pakistan,2012,4.8,7.7
Palau,2012,12.2,14.2
Palestine,2012,9.0,13.2
Panama,2012,9.5,12.7
Papua New Guinea,2012,4.2,10.0
Paraguay,2012,7.8,12.6
Peru,2012,8.6,13.6
Philippines,2012,9.1,12.3
Poland,2012,11.7,15.3
Portugal,2012,8.5,16.2
Post-demographic dividend,2012,0.0,0.0
Pre-demographic dividend,2012,0.0,0.0
Puerto Rico,2012,0.0,0.0
Qatar,2012,9.2,13.4
Romania,2012,10.9,14.4
Russia,2012,11.7,14.6
Rwanda,2012,3.7,11.5
Saint Kitts and Nevis,2012,8.1,13.7
Saint Lucia,2012,8.4,13.1
Saint Martin (French part),2012,0.0,0.0
Saint Vincent and the Grenadines,2012,8.5,13.4
Samoa,2012,10.2,12.3
San Marino,2012,0.0,15.1
Sao Tome and Principe,2012,5.1,11.0
Saudi Arabia,2012,9.4,15.6
Senegal,2012,2.6,8.8
Serbia,2012,10.5,14.1
Seychelles,2012,8.8,14.2
Sierra Leone,2012,3.2,9.3
Singapore,2012,11.3,15.8
Sint Maarten (Dutch part),2012,0.0,0.0
Slovakia,2012,12.3,14.9
Slovenia,2012,11.7,16.9
Small states,2012,0.0,0.0
Solomon Islands,2012,5.2,9.9
Somalia,2012,0.0,0.0
South Africa,2012,9.8,12.9
South Asia,2012,0.0,0.0
South Asia (IDA & IBRD),2012,0.0,0.0
South Korea,2012,11.9,16.7
South Sudan,2012,4.8,4.9
Spain,2012,9.5,17.4
Sri Lanka,2012,10.9,13.8
Sub-Saharan Africa,2012,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2012,0.0,0.0
Sub-Saharan Africa (excluding high income),2012,0.0,0.0
Sudan,2012,3.3,7.2
Suriname,2012,7.9,12.5
Swaziland,2012,6.1,11.2
Sweden,2012,12.4,15.8
Switzerland,2012,13.4,15.8
Syria,2012,6.3,12.7
Syrian Arab Republic,2012,0.0,0.0
Tajikistan,2012,10.7,11.2
Tanzania,2012,5.5,8.8
Thailand,2012,7.7,13.3
Timor,2012,4.5,12.8
Togo,2012,4.4,12.1
Tonga,2012,10.9,14.3
Trinidad and Tobago,2012,10.8,12.7
Tunisia,2012,6.8,14.7
Turkey,2012,7.5,14.4
Turkmenistan,2012,9.8,10.7
Turks and Caicos Islands,2012,0.0,0.0
Tuvalu,2012,0.0,0.0
Uganda,2012,5.3,11.1
Ukraine,2012,11.3,14.9
United Arab Emirates,2012,10.2,13.6
United Kingdom,2012,12.9,15.7
United States,2012,13.3,16.6
United States Virgin Islands,2012,0.0,0.0
Upper middle income,2012,0.0,0.0
Uruguay,2012,8.5,15.6
Uzbekistan,2012,11.1,11.6
Vanuatu,2012,6.8,10.9
Venezuela,2012,9.7,14.2
Vietnam,2012,7.8,12.6
World,2012,0.0,0.0
Yemen,2012,3.0,9.0
Zambia,2012,6.7,12.5
Zimbabwe,2012,7.9,10.3
