Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
Faeroe Islands,2015,0.0,0.0
Fiji,2015,10.8,15.3
Finland,2015,12.4,17.6
Fragile and conflict affected situations,2015,0.0,0.0
France,2015,11.5,16.4
French Polynesia,2015,0.0,0.0
Gabon,2015,8.1,12.6
Gambia,2015,3.4,9.2
Georgia,2015,12.7,14.7
Germany,2015,14.1,17.0
Ghana,2015,6.9,11.7
Gibraltar,2015,0.0,0.0
Greece,2015,10.6,17.3
Greenland,2015,0.0,0.0
Grenada,2015,8.7,16.7
Guam,2015,0.0,0.0
Guatemala,2015,6.3,10.8
Guinea,2015,2.6,9.1
Guinea-Bissau,2015,2.9,10.5
Guyana,2015,8.4,11.4
Haiti,2015,5.2,9.1
Heavily indebted poor countries (HIPC),2015,0.0,0.0
High income,2015,0.0,0.0
Honduras,2015,6.3,10.2
Hong Kong,2015,12.0,16.3
Hungary,2015,11.8,15.2
IBRD only,2015,0.0,0.0
IDA & IBRD total,2015,0.0,0.0
IDA blend,2015,0.0,0.0
IDA only,2015,0.0,0.0
IDA total,2015,0.0,0.0
Iceland,2015,12.2,19.3
India,2015,6.3,12.0
Indonesia,2015,7.9,12.7
Iran,2015,9.8,14.9
Iraq,2015,6.6,10.1
Ireland,2015,12.3,19.6
Isle of Man,2015,0.0,0.0
Israel,2015,13.0,16.0
Italy,2015,10.2,16.3
Jamaica,2015,9.6,13.1
Japan,2015,12.5,15.2
Jordan,2015,10.3,13.0
Kazakhstan,2015,11.7,15.0
Kenya,2015,6.3,11.7
Kiribati,2015,7.9,12.9
Kosovo,2015,0.0,0.0
Kuwait,2015,7.1,13.6
Kyrgyzstan,2015,10.8,13.3
Laos,2015,5.1,11.3
Late-demographic dividend,2015,0.0,0.0
Latin America & Caribbean,2015,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2015,0.0,0.0
Latin America & Caribbean (excluding high income),2015,0.0,0.0
Latvia,2015,12.8,15.8
Least developed countries: UN classification,2015,0.0,0.0
Lebanon,2015,8.5,12.5
Lesotho,2015,6.1,10.6
Liberia,2015,4.4,10.0
Libya,2015,7.3,13.4
Liechtenstein,2015,12.4,14.7
Lithuania,2015,13.0,16.1
Low & middle income,2015,0.0,0.0
Low income,2015,0.0,0.0
Lower middle income,2015,0.0,0.0
Luxembourg,2015,12.0,14.0
Macao,2015,0.0,0.0
Macedonia,2015,9.6,13.3
Madagascar,2015,6.1,10.6
Malawi,2015,4.4,10.7
Malaysia,2015,10.2,13.5
Maldives,2015,6.3,12.7
Mali,2015,2.3,7.5
Malta,2015,11.2,15.7
Marshall Islands,2015,10.8,0.0
Mauritania,2015,4.3,8.6
Mauritius,2015,9.1,15.1
Mexico,2015,8.6,13.7
Micronesia (country),2015,8.0,0.0
Micronesia (region),2015,0.0,11.7
Middle East & North Africa,2015,0.0,0.0
Middle East & North Africa (IDA & IBRD),2015,0.0,0.0
Middle East & North Africa (excluding high income),2015,0.0,0.0
Middle income,2015,0.0,0.0
Moldova,2015,11.6,11.6
Monaco,2015,0.0,0.0
Mongolia,2015,10.1,15.0
Montenegro,2015,11.3,14.9
Morocco,2015,5.0,12.3
Mozambique,2015,3.5,9.7
Myanmar,2015,4.9,9.9
Namibia,2015,6.7,12.3
Nauru,2015,0.0,10.4
Nepal,2015,4.7,12.2
Netherlands,2015,12.1,18.1
New Caledonia,2015,0.0,0.0
New Zealand,2015,12.4,18.9
Nicaragua,2015,6.5,12.1
Niger,2015,1.8,5.3
Nigeria,2015,6.0,10.0
North America,2015,0.0,0.0
North Korea,2015,0.0,12.0
Northern Mariana Islands,2015,0.0,0.0
Norway,2015,12.5,17.7
OECD members,2015,0.0,0.0
Oman,2015,9.5,13.9
Other small states,2015,0.0,0.0
Pacific island small states,2015,0.0,0.0
Pakistan,2015,5.1,8.2
Palau,2015,12.2,15.1
Palestine,2015,9.0,12.8
Panama,2015,9.9,12.7
Papua New Guinea,2015,4.3,10.2
Paraguay,2015,8.5,12.7
Peru,2015,9.1,13.8
Philippines,2015,9.3,12.6
Poland,2015,12.1,16.1
Portugal,2015,9.1,16.4
Post-demographic dividend,2015,0.0,0.0
Pre-demographic dividend,2015,0.0,0.0
Puerto Rico,2015,0.0,0.0
Qatar,2015,9.8,13.4
Romania,2015,10.9,14.5
Russia,2015,12.0,15.4
Rwanda,2015,4.0,10.8
Saint Kitts and Nevis,2015,8.4,14.2
Saint Lucia,2015,8.9,13.6
Saint Martin (French part),2015,0.0,0.0
Saint Vincent and the Grenadines,2015,8.6,13.3
Samoa,2015,10.3,12.4
San Marino,2015,0.0,15.1
Sao Tome and Principe,2015,5.6,12.5
Saudi Arabia,2015,9.5,16.9
Senegal,2015,2.9,9.3
Serbia,2015,11.0,14.4
Seychelles,2015,9.5,14.6
Sierra Leone,2015,3.4,9.5
Singapore,2015,11.5,16.1
Sint Maarten (Dutch part),2015,0.0,0.0
Slovakia,2015,12.5,15.0
Slovenia,2015,12.0,17.2
Small states,2015,0.0,0.0
Solomon Islands,2015,5.4,10.2
Somalia,2015,0.0,0.0
South Africa,2015,10.1,13.3
South Asia,2015,0.0,0.0
South Asia (IDA & IBRD),2015,0.0,0.0
South Korea,2015,12.1,16.5
South Sudan,2015,4.8,4.9
Spain,2015,9.7,17.8
Sri Lanka,2015,10.9,13.9
Sub-Saharan Africa,2015,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2015,0.0,0.0
Sub-Saharan Africa (excluding high income),2015,0.0,0.0
Sudan,2015,3.6,7.3
Suriname,2015,8.4,12.7
Swaziland,2015,6.5,11.2
Sweden,2015,12.4,17.6
Switzerland,2015,13.4,16.2
Syria,2015,5.1,8.8
Syrian Arab Republic,2015,0.0,0.0
Tajikistan,2015,10.5,11.2
Tanzania,2015,5.8,8.9
Thailand,2015,7.6,13.9
Timor,2015,4.5,12.8
Togo,2015,4.7,12.4
Tonga,2015,11.2,14.3
Trinidad and Tobago,2015,10.8,12.7
Tunisia,2015,7.0,14.9
Turkey,2015,7.8,15.2
Turkmenistan,2015,9.8,10.8
Turks and Caicos Islands,2015,0.0,0.0
Tuvalu,2015,0.0,0.0
Uganda,2015,5.7,11.2
Ukraine,2015,11.3,15.0
United Arab Emirates,2015,10.6,13.8
United Kingdom,2015,12.8,17.4
United States,2015,13.3,16.5
United States Virgin Islands,2015,0.0,0.0
Upper middle income,2015,0.0,0.0
Uruguay,2015,8.7,15.9
Uzbekistan,2015,11.4,11.7
Vanuatu,2015,6.8,10.9
Venezuela,2015,10.1,14.3
Vietnam,2015,8.0,12.7
World,2015,0.0,0.0
Yemen,2015,3.0,9.0
Zambia,2015,6.9,12.5
Zimbabwe,2015,8.2,10.3
