Entity,Year,Average years of schooling (years),Expected Years of Schooling (years)
IBRD only,2013,0.0,0.0
IDA & IBRD total,2013,0.0,0.0
IDA blend,2013,0.0,0.0
IDA only,2013,0.0,0.0
IDA total,2013,0.0,0.0
Iceland,2013,11.9,19.5
India,2013,5.8,11.6
Indonesia,2013,7.8,12.8
Iran,2013,9.8,14.8
Iraq,2013,6.6,10.1
Ireland,2013,11.8,18.8
Isle of Man,2013,0.0,0.0
Israel,2013,12.8,16.0
Italy,2013,10.3,16.3
Jamaica,2013,9.4,13.2
Japan,2013,12.2,15.2
Jordan,2013,9.9,12.9
Kazakhstan,2013,11.6,14.9
Kenya,2013,6.3,11.3
Kiribati,2013,7.9,13.0
Kosovo,2013,0.0,0.0
Kuwait,2013,6.7,13.6
Kyrgyzstan,2013,10.7,13.1
Laos,2013,5.1,10.8
Late-demographic dividend,2013,0.0,0.0
Latin America & Caribbean,2013,0.0,0.0
Latin America & Caribbean (IDA & IBRD),2013,0.0,0.0
Latin America & Caribbean (excluding high income),2013,0.0,0.0
Latvia,2013,12.7,15.7
Least developed countries: UN classification,2013,0.0,0.0
Lebanon,2013,8.3,12.5
Lesotho,2013,6.0,10.8
Liberia,2013,4.4,9.9
Libya,2013,7.3,13.4
Liechtenstein,2013,12.4,14.8
Lithuania,2013,11.9,16.3
Low & middle income,2013,0.0,0.0
Low income,2013,0.0,0.0
Lower middle income,2013,0.0,0.0
Luxembourg,2013,11.8,13.9
Macao,2013,0.0,0.0
Macedonia,2013,9.4,12.9
Madagascar,2013,6.1,10.4
Malawi,2013,4.4,10.7
Malaysia,2013,10.1,13.1
Maldives,2013,5.7,12.5
Mali,2013,2.2,7.4
Malta,2013,11.0,15.2
Marshall Islands,2013,10.8,0.0
Mauritania,2013,4.1,8.4
Mauritius,2013,8.9,14.8
Mexico,2013,8.4,13.3
Micronesia (country),2013,8.0,0.0
Micronesia (region),2013,0.0,11.7
Middle East & North Africa,2013,0.0,0.0
Middle East & North Africa (IDA & IBRD),2013,0.0,0.0
Middle East & North Africa (excluding high income),2013,0.0,0.0
Middle income,2013,0.0,0.0
Moldova,2013,11.6,11.8
Monaco,2013,0.0,0.0
Mongolia,2013,10.0,14.8
Montenegro,2013,11.2,15.0
Morocco,2013,4.8,12.0
Mozambique,2013,3.4,9.7
Myanmar,2013,4.7,9.7
Namibia,2013,6.6,12.3
Nauru,2013,0.0,10.2
Nepal,2013,4.2,12.4
Netherlands,2013,12.1,17.9
New Caledonia,2013,0.0,0.0
New Zealand,2013,12.1,18.8
Nicaragua,2013,6.4,11.6
Niger,2013,1.7,5.3
Nigeria,2013,5.9,10.0
North America,2013,0.0,0.0
North Korea,2013,0.0,12.0
Northern Mariana Islands,2013,0.0,0.0
Norway,2013,12.7,17.7
OECD members,2013,0.0,0.0
Oman,2013,8.9,13.8
Other small states,2013,0.0,0.0
Pacific island small states,2013,0.0,0.0
Pakistan,2013,4.9,7.8
Palau,2013,12.2,14.5
Palestine,2013,8.9,12.9
Panama,2013,9.7,12.7
Papua New Guinea,2013,4.3,10.1
Paraguay,2013,8.3,12.7
Peru,2013,8.8,13.7
Philippines,2013,9.1,12.6
Poland,2013,12.1,16.3
Portugal,2013,8.6,16.7
Post-demographic dividend,2013,0.0,0.0
Pre-demographic dividend,2013,0.0,0.0
Puerto Rico,2013,0.0,0.0
Qatar,2013,9.9,13.4
Romania,2013,10.9,14.5
Russia,2013,11.8,14.9
Rwanda,2013,3.8,11.3
Saint Kitts and Nevis,2013,8.3,14.0
Saint Lucia,2013,8.4,13.4
Saint Martin (French part),2013,0.0,0.0
Saint Vincent and the Grenadines,2013,8.6,13.5
Samoa,2013,10.3,12.4
San Marino,2013,0.0,15.1
Sao Tome and Principe,2013,5.2,11.4
Saudi Arabia,2013,9.5,16.3
Senegal,2013,2.8,8.9
Serbia,2013,10.4,14.3
Seychelles,2013,9.1,14.4
Sierra Leone,2013,3.3,9.5
Singapore,2013,11.4,15.8
Sint Maarten (Dutch part),2013,0.0,0.0
Slovakia,2013,12.2,14.9
Slovenia,2013,11.7,17.6
Small states,2013,0.0,0.0
Solomon Islands,2013,5.3,10.0
Somalia,2013,0.0,0.0
South Africa,2013,9.9,13.1
South Asia,2013,0.0,0.0
South Asia (IDA & IBRD),2013,0.0,0.0
South Korea,2013,12.0,16.6
South Sudan,2013,4.8,4.9
Spain,2013,9.5,17.6
Sri Lanka,2013,10.9,13.8
Sub-Saharan Africa,2013,0.0,0.0
Sub-Saharan Africa (IDA & IBRD),2013,0.0,0.0
Sub-Saharan Africa (excluding high income),2013,0.0,0.0
Sudan,2013,3.4,7.3
Suriname,2013,8.1,12.5
Swaziland,2013,6.3,11.2
Sweden,2013,12.2,16.4
Switzerland,2013,13.4,15.9
Syria,2013,6.3,8.8
Syrian Arab Republic,2013,0.0,0.0
Tajikistan,2013,10.7,11.2
Tanzania,2013,5.5,8.2
Thailand,2013,7.5,13.2
Timor,2013,4.5,12.8
Togo,2013,4.5,12.3
Tonga,2013,11.0,14.3
Trinidad and Tobago,2013,10.8,12.7
Tunisia,2013,6.8,14.8
Turkey,2013,7.7,14.8
Turkmenistan,2013,9.8,10.8
Turks and Caicos Islands,2013,0.0,0.0
Tuvalu,2013,0.0,0.0
Uganda,2013,5.4,11.1
Ukraine,2013,11.3,14.9
United Arab Emirates,2013,10.3,13.8
United Kingdom,2013,12.6,17.7
United States,2013,13.2,16.4
United States Virgin Islands,2013,0.0,0.0
Upper middle income,2013,0.0,0.0
Uruguay,2013,8.5,16.1
Uzbekistan,2013,11.3,11.6
Vanuatu,2013,6.8,10.9
Venezuela,2013,9.9,14.2
Vietnam,2013,7.9,12.6
World,2013,0.0,0.0
Yemen,2013,3.0,9.0
Zambia,2013,6.8,12.5
Zimbabwe,2013,8.0,10.2
