Entity,Code,Year,Average total years of schooling for adult population (years)
Sao Tome and Principe,STP,2017,6.3
Saudi Arabia,SAU,2017,9.5
Senegal,SEN,2017,3.0
Serbia,SRB,2017,11.1
Seychelles,SYC,2017,9.5
Sierra Leone,SLE,2017,3.5
Singapore,SGP,2017,11.5
Slovakia,SVK,2017,12.5
Slovenia,SVN,2017,12.2
Solomon Islands,SLB,2017,5.5
South Africa,ZAF,2017,10.1
South Korea,KOR,2017,12.1
South Sudan,SSD,2017,4.8
Spain,ESP,2017,9.8
Sri Lanka,LKA,2017,10.9
Sudan,SDN,2017,3.7
Suriname,SUR,2017,8.5
Swaziland,SWZ,2017,6.5
Sweden,SWE,2017,12.4
Switzerland,CHE,2017,13.4
Syria,SYR,2017,5.1
Tajikistan,TJK,2017,10.4
Tanzania,TZA,2017,5.8
Thailand,THA,2017,7.6
Timor,TLS,2017,4.5
Togo,TGO,2017,4.8
Tonga,TON,2017,11.2
Trinidad and Tobago,TTO,2017,10.9
Tunisia,TUN,2017,7.2
Turkey,TUR,2017,8.0
Turkmenistan,TKM,2017,9.8
Uganda,UGA,2017,6.1
Ukraine,UKR,2017,11.3
United Arab Emirates,ARE,2017,10.8
United Kingdom,GBR,2017,12.9
United States,USA,2017,13.4
Uruguay,URY,2017,8.7
Uzbekistan,UZB,2017,11.5
Vanuatu,VUT,2017,6.8
Venezuela,VEN,2017,10.3
Vietnam,VNM,2017,8.2
Yemen,YEM,2017,3.0
Zambia,ZMB,2017,7.0
Zimbabwe,ZWE,2017,8.2
